〔KJVverseSort｜KJVbook｜KJVchapter｜KJVverse〕	〔BHSverseSort｜BHSbook｜BHSchapter｜BHSverse〕
〔4491｜4｜26｜1〕	〔4491｜4｜25｜19〕
〔4491｜4｜26｜1〕	〔4492｜4｜26｜1〕
〔7709｜9｜19｜2〕	〔7624｜9｜19｜1〕
〔7709｜9｜19｜2〕	〔7625｜9｜19｜2〕
〔7773｜9｜20｜42〕	〔7689｜9｜20｜42〕
〔7773｜9｜20｜42〕	〔7690｜9｜21｜1〕
〔9375｜11｜18｜33〕	〔9292｜11｜18｜33〕
〔9375｜11｜18｜33〕	〔9293｜11｜18｜34〕
〔9411｜11｜20｜2〕	〔9328｜11｜20｜2〕
〔9411｜11｜20｜2〕	〔9329｜11｜20｜3〕
〔9503｜11｜22｜22〕	〔9419｜11｜22｜21〕
〔9503｜11｜22｜22〕	〔9420｜11｜22｜22〕
〔9524｜11｜22｜43〕	〔9441｜11｜22｜43〕
〔9524｜11｜22｜43〕	〔9442｜11｜22｜44〕
〔13959｜19｜3｜1〕	〔15168｜19｜3｜1〕
〔13959｜19｜3｜1〕	〔15169｜19｜3｜2〕
〔13967｜19｜4｜1〕	〔15177｜19｜4｜1〕
〔13967｜19｜4｜1〕	〔15178｜19｜4｜2〕
〔13975｜19｜5｜1〕	〔15186｜19｜5｜1〕
〔13975｜19｜5｜1〕	〔15187｜19｜5｜2〕
〔13987｜19｜6｜1〕	〔15199｜19｜6｜1〕
〔13987｜19｜6｜1〕	〔15200｜19｜6｜2〕
〔13997｜19｜7｜1〕	〔15210｜19｜7｜1〕
〔13997｜19｜7｜1〕	〔15211｜19｜7｜2〕
〔14014｜19｜8｜1〕	〔15228｜19｜8｜1〕
〔14014｜19｜8｜1〕	〔15229｜19｜8｜2〕
〔14023｜19｜9｜1〕	〔15238｜19｜9｜1〕
〔14023｜19｜9｜1〕	〔15239｜19｜9｜2〕
〔14068｜19｜12｜1〕	〔15284｜19｜12｜1〕
〔14068｜19｜12｜1〕	〔15285｜19｜12｜2〕
〔14076｜19｜13｜1〕	〔15293｜19｜13｜1〕
〔14076｜19｜13｜1〕	〔15294｜19｜13｜2〕
〔14120｜19｜18｜1〕	〔15337｜19｜18｜1〕
〔14120｜19｜18｜1〕	〔15338｜19｜18｜2〕
〔14170｜19｜19｜1〕	〔15388｜19｜19｜1〕
〔14170｜19｜19｜1〕	〔15389｜19｜19｜2〕
〔14184｜19｜20｜1〕	〔15403｜19｜20｜1〕
〔14184｜19｜20｜1〕	〔15404｜19｜20｜2〕
〔14193｜19｜21｜1〕	〔15413｜19｜21｜1〕
〔14193｜19｜21｜1〕	〔15414｜19｜21｜2〕
〔14206｜19｜22｜1〕	〔15427｜19｜22｜1〕
〔14206｜19｜22｜1〕	〔15428｜19｜22｜2〕
〔14321｜19｜30｜1〕	〔15543｜19｜30｜1〕
〔14321｜19｜30｜1〕	〔15544｜19｜30｜2〕
〔14333｜19｜31｜1〕	〔15556｜19｜31｜1〕
〔14333｜19｜31｜1〕	〔15557｜19｜31｜2〕
〔14390｜19｜34｜1〕	〔15614｜19｜34｜1〕
〔14390｜19｜34｜1〕	〔15615｜19｜34｜2〕
〔14440｜19｜36｜1〕	〔15665｜19｜36｜1〕
〔14440｜19｜36｜1〕	〔15666｜19｜36｜2〕
〔14492｜19｜38｜1〕	〔15718｜19｜38｜1〕
〔14492｜19｜38｜1〕	〔15719｜19｜38｜2〕
〔14514｜19｜39｜1〕	〔15741｜19｜39｜1〕
〔14514｜19｜39｜1〕	〔15742｜19｜39｜2〕
〔14527｜19｜40｜1〕	〔15755｜19｜40｜1〕
〔14527｜19｜40｜1〕	〔15756｜19｜40｜2〕
〔14544｜19｜41｜1〕	〔15773｜19｜41｜1〕
〔14544｜19｜41｜1〕	〔15774｜19｜41｜2〕
〔14557｜19｜42｜1〕	〔15787｜19｜42｜1〕
〔14557｜19｜42｜1〕	〔15788｜19｜42｜2〕
〔14573｜19｜44｜1〕	〔15804｜19｜44｜1〕
〔14573｜19｜44｜1〕	〔15805｜19｜44｜2〕
〔14599｜19｜45｜1〕	〔15831｜19｜45｜1〕
〔14599｜19｜45｜1〕	〔15832｜19｜45｜2〕
〔14616｜19｜46｜1〕	〔15849｜19｜46｜1〕
〔14616｜19｜46｜1〕	〔15850｜19｜46｜2〕
〔14627｜19｜47｜1〕	〔15861｜19｜47｜1〕
〔14627｜19｜47｜1〕	〔15862｜19｜47｜2〕
〔14636｜19｜48｜1〕	〔15871｜19｜48｜1〕
〔14636｜19｜48｜1〕	〔15872｜19｜48｜2〕
〔14650｜19｜49｜1〕	〔15886｜19｜49｜1〕
〔14650｜19｜49｜1〕	〔15887｜19｜49｜2〕
〔14693｜19｜51｜1〕	〔15930｜19｜51｜1〕
〔14693｜19｜51｜1〕	〔15931｜19｜51｜2〕
〔14693｜19｜51｜1〕	〔15932｜19｜51｜3〕
〔14712｜19｜52｜1〕	〔15951｜19｜52｜1〕
〔14712｜19｜52｜1〕	〔15952｜19｜52｜2〕
〔14712｜19｜52｜1〕	〔15953｜19｜52｜3〕
〔14721｜19｜53｜1〕	〔15962｜19｜53｜1〕
〔14721｜19｜53｜1〕	〔15963｜19｜53｜2〕
〔14727｜19｜54｜1〕	〔15969｜19｜54｜1〕
〔14727｜19｜54｜1〕	〔15970｜19｜54｜2〕
〔14727｜19｜54｜1〕	〔15971｜19｜54｜3〕
〔14734｜19｜55｜1〕	〔15978｜19｜55｜1〕
〔14734｜19｜55｜1〕	〔15979｜19｜55｜2〕
〔14757｜19｜56｜1〕	〔16002｜19｜56｜1〕
〔14757｜19｜56｜1〕	〔16003｜19｜56｜2〕
〔14770｜19｜57｜1〕	〔16016｜19｜57｜1〕
〔14770｜19｜57｜1〕	〔16017｜19｜57｜2〕
〔14781｜19｜58｜1〕	〔16028｜19｜58｜1〕
〔14781｜19｜58｜1〕	〔16029｜19｜58｜2〕
〔14792｜19｜59｜1〕	〔16040｜19｜59｜1〕
〔14792｜19｜59｜1〕	〔16041｜19｜59｜2〕
〔14809｜19｜60｜1〕	〔16058｜19｜60｜1〕
〔14809｜19｜60｜1〕	〔16059｜19｜60｜2〕
〔14809｜19｜60｜1〕	〔16060｜19｜60｜3〕
〔14821｜19｜61｜1〕	〔16072｜19｜61｜1〕
〔14821｜19｜61｜1〕	〔16073｜19｜61｜2〕
〔14829｜19｜62｜1〕	〔16081｜19｜62｜1〕
〔14829｜19｜62｜1〕	〔16082｜19｜62｜2〕
〔14841｜19｜63｜1〕	〔16094｜19｜63｜1〕
〔14841｜19｜63｜1〕	〔16095｜19｜63｜2〕
〔14852｜19｜64｜1〕	〔16106｜19｜64｜1〕
〔14852｜19｜64｜1〕	〔16107｜19｜64｜2〕
〔14862｜19｜65｜1〕	〔16117｜19｜65｜1〕
〔14862｜19｜65｜1〕	〔16118｜19｜65｜2〕
〔14895｜19｜67｜1〕	〔16151｜19｜67｜1〕
〔14895｜19｜67｜1〕	〔16152｜19｜67｜2〕
〔14902｜19｜68｜1〕	〔16159｜19｜68｜1〕
〔14902｜19｜68｜1〕	〔16160｜19｜68｜2〕
〔14937｜19｜69｜1〕	〔16195｜19｜69｜1〕
〔14937｜19｜69｜1〕	〔16196｜19｜69｜2〕
〔14973｜19｜70｜1〕	〔16232｜19｜70｜1〕
〔14973｜19｜70｜1〕	〔16233｜19｜70｜2〕
〔15073｜19｜75｜1〕	〔16333｜19｜75｜1〕
〔15073｜19｜75｜1〕	〔16334｜19｜75｜2〕
〔15083｜19｜76｜1〕	〔16344｜19｜76｜1〕
〔15083｜19｜76｜1〕	〔16345｜19｜76｜2〕
〔15095｜19｜77｜1〕	〔16357｜19｜77｜1〕
〔15095｜19｜77｜1〕	〔16358｜19｜77｜2〕
〔15200｜19｜80｜1〕	〔16463｜19｜80｜1〕
〔15200｜19｜80｜1〕	〔16464｜19｜80｜2〕
〔15219｜19｜81｜1〕	〔16483｜19｜81｜1〕
〔15219｜19｜81｜1〕	〔16484｜19｜81｜2〕
〔15243｜19｜83｜1〕	〔16508｜19｜83｜1〕
〔15243｜19｜83｜1〕	〔16509｜19｜83｜2〕
〔15261｜19｜84｜1〕	〔16527｜19｜84｜1〕
〔15261｜19｜84｜1〕	〔16528｜19｜84｜2〕
〔15273｜19｜85｜1〕	〔16540｜19｜85｜1〕
〔15273｜19｜85｜1〕	〔16541｜19｜85｜2〕
〔15310｜19｜88｜1〕	〔16578｜19｜88｜1〕
〔15310｜19｜88｜1〕	〔16579｜19｜88｜2〕
〔15328｜19｜89｜1〕	〔16597｜19｜89｜1〕
〔15328｜19｜89｜1〕	〔16598｜19｜89｜2〕
〔15413｜19｜92｜1〕	〔16683｜19｜92｜1〕
〔15413｜19｜92｜1〕	〔16684｜19｜92｜2〕
〔15523｜19｜102｜1〕	〔16794｜19｜102｜1〕
〔15523｜19｜102｜1〕	〔16795｜19｜102｜2〕
〔15744｜19｜108｜1〕	〔17016｜19｜108｜1〕
〔15744｜19｜108｜1〕	〔17017｜19｜108｜2〕
〔16265｜19｜140｜1〕	〔17538｜19｜140｜1〕
〔16265｜19｜140｜1〕	〔17539｜19｜140｜2〕
〔16288｜19｜142｜1〕	〔17562｜19｜142｜1〕
〔16288｜19｜142｜1〕	〔17563｜19｜142｜2〕
〔10725｜13｜12｜4〕	〔21920｜13｜12｜4〕
〔10725｜13｜12｜4〕	〔21921｜13｜12｜5〕
